Community Area,CCVI,Population,Socioeconomic Status (Surgo CCVI),"Household
Composition
and Disability
(Surgo CCVI)",Cumulative mobility ratio (current over prior year),% adults w/o PCP (HCS),% Frontline essential workers (% of CA population),% Age 65+ (ACS),% 18-64yo adults w/1+ comorbid conditions (HCS),Cumulative COVID-19 incidence rate (Jan-Dec 2020),Cumulative COVID-19 hospital admission rate (Jan-Dec 2020),Cumulative COVID-19 crude mortality rate (non-congregate deaths only) (Jan-Dec 2020),  
West Englewood,64,26346,0.94,0.85,0.99,30.2,12.1,20.2,76.4,7674.8,1598,242.9,
New City,60,39508,0.92,0.64,0.98,42.7,17.5,12.1,56.7,9901.8,1136.5,151.9,
Gage Park,59,37478,0.92,0.48,0.94,32.8,19.5,9.2,44.7,13370.5,1064.6,216.1,
North Lawndale,58,32073,0.93,0.81,0.99,33.5,13.1,10.8,60,6831.3,1309.5,208.9,
South Lawndale,58,72157,0.94,0.56,0.92,35.9,15.9,9.3,48.4,11120.2,1136.4,225.9,
Chicago Lawn,58,51352,0.94,0.58,0.9,29.8,16.8,12.3,59.5,10934.3,1180.1,155.8,
Englewood,55,22921,0.97,0.89,1,29.6,10.9,14.4,60.7,5833.1,1278.3,161.4,
Roseland,55,39162,0.81,0.82,0.96,29.3,13.7,18.1,68.7,5717.3,1212.9,176.2,
Archer Heights,53,13726,0.83,0.4,0.9,23.1,18.2,12.7,69.2,12312.4,1034.5,145.7,
Washington Heights,53,26742,0.75,0.83,0.93,31.3,15.4,18.2,54.7,5781.2,1256.5,157.1,
Austin,53,93727,0.88,0.8,0.94,31.1,15.2,14.3,62.4,7791.8,1022.1,151.5,
Montclare,53,14267,0.65,0.5,0.82,34.6,15.8,17,60.8,10338.5,1030.3,161.2,
Belmont Cragin,52,78601,0.81,0.51,0.84,33.2,20.2,9.6,40.2,13069.8,1011.4,160.3,
South Deering,52,15475,0.92,0.89,0.93,30.8,13,15.7,64.3,6785.1,1111.5,135.7,
Humboldt Park,52,55364,0.88,0.63,0.91,33.4,18.8,9.6,56.1,9630.8,1040.4,137.3,
Hermosa,50,23481,0.81,0.44,0.87,15.9,22,10.6,52.7,12184.3,975.3,183.1,
Brighton Park,49,44156,0.89,0.44,0.9,33.5,18.7,9.6,42.2,10861.5,865.1,140.4,
West Pullman,49,30020,0.86,0.81,0.97,26,15.7,16.5,62,4870.1,1039.3,179.9,
Garfield Ridge,49,37207,0.61,0.44,0.82,20.2,16.5,15.7,50.2,10729.2,1056.3,161.3,
Lower West Side,49,33203,0.73,0.18,0.9,31.4,20.6,9.8,42.5,10267.1,975.8,177.7,
West Elsdon,49,19126,0.76,0.39,0.88,36.2,18.1,10.2,43.9,11821.6,946.4,141.2,
West Lawn,49,31886,0.84,0.5,0.88,16.4,19.8,10.4,42.9,13811.7,1063.2,134.9,
Auburn Gresham,48,45909,0.88,0.78,0.97,30.1,15.7,17.9,55.5,5314.9,1119.6,122,
East Garfield Park,48,18940,0.95,0.81,0.96,22.4,10.9,10.2,65.5,6610.3,1145.7,116.2,
West Garfield Park,47,16415,0.98,0.92,0.94,42.6,12.5,11.9,63.5,5945.8,1035.6,103.6,
Pullman,46,6840,0.76,0.59,0.96,26.7,18.6,15.6,47.8,5482.5,818.7,190.1,
Calumet Heights,46,12815,0.67,0.76,0.9,21,16.5,23.1,52.2,5423.3,1248.5,132.7,
Greater Grand Crossing,46,30149,0.89,0.77,0.98,37.5,15.4,14.4,68.2,5058.2,1031.5,109.5,
